policy_id,product_type,region,sum_insured,annual_premium,start_date,end_date,earned_premium,status
POL-00133,Motor,East,467786.82,2140.36,2022-02-17,2023-02-17,281.47,Active
POL-00134,Motor,West,1078214.54,1082.65,2023-06-05,2024-06-04,622.89,Active
POL-00135,Motor,West,1138436.71,2360.68,2022-07-29,2023-07-29,1358.2,Active
POL-00136,Motor,South,1409010.47,991.32,2022-08-11,2023-08-11,605.65,Active
POL-00137,Liability,West,1238404.5,3007.82,2022-04-19,2023-04-19,898.23,Active
POL-00138,Motor,South,284339.78,2132.61,2023-03-25,2024-03-24,1647.66,Cancelled
POL-00139,Property,West,9478621.81,2249.15,2022-12-15,2023-12-15,2150.55,Active
POL-00140,Motor,East,481674.55,2057.91,2022-11-21,2023-11-21,1832.38,Active
POL-00141,Motor,South,1021264.31,1480.31,2022-11-24,2023-11-24,1330.26,Active
POL-00142,Motor,West,1412759.88,1114.24,2022-05-22,2023-05-22,433.48,Active
POL-00143,Liability,East,1313582.27,2107.59,2022-07-24,2023-07-24,1183.72,Active
POL-00144,Motor,Central,761576.48,2518.35,2023-01-26,2024-01-26,2345.86,Active
POL-00145,Motor,West,718712.75,3663.62,2022-10-22,2023-10-22,2961.01,Active
POL-00146,Motor,Central,240184.37,1874.4,2022-09-14,2023-09-14,1319.78,Active
POL-00147,Motor,West,1190905.63,2249.18,2023-05-01,2024-04-30,1509.72,Active
POL-00148,Motor,Central,240802.43,2303.99,2023-01-05,2024-01-05,2278.74,Lapsed
POL-00149,Motor,North,1386431.43,2139.14,2022-03-02,2023-03-02,357.5,Cancelled
POL-00150,Motor,West,815616.45,1183.66,2022-08-14,2023-08-14,732.9,Active
POL-00151,Property,North,1754565.76,1483.61,2022-06-07,2023-06-07,642.22,Active
POL-00152,Liability,East,3586984.93,3864.9,2022-01-06,2023-01-06,63.53,Lapsed
POL-00153,Motor,Central,682997.86,949.4,2022-10-10,2023-10-10,736.11,Active
POL-00154,Motor,West,942259.26,1381.93,2023-05-21,2024-05-20,851.87,Active
POL-00155,Motor,East,241577.83,3851.67,2023-05-27,2024-05-26,2311.0,Active
POL-00156,Property,West,18420979.94,1876.39,2022-04-23,2023-04-23,580.91,Active
POL-00157,Motor,North,834618.13,1546.56,2023-05-15,2024-05-14,978.78,Active
POL-00158,Property,Central,16901931.82,2266.89,2022-09-22,2023-09-22,1645.82,Lapsed
POL-00159,Property,North,3191779.39,1737.7,2022-07-30,2023-07-30,1004.53,Lapsed
POL-00160,Property,North,18488844.61,3467.09,2022-04-20,2023-04-20,1044.88,Lapsed
POL-00161,Motor,North,707750.56,1657.75,2022-07-07,2023-07-07,853.86,Active
POL-00162,Liability,Central,1192203.37,2134.1,2022-09-02,2023-09-02,1432.48,Lapsed
POL-00163,Motor,East,300407.62,1502.48,2022-12-10,2023-12-10,1416.03,Active
POL-00164,Motor,East,887257.06,1394.21,2022-12-06,2023-12-06,1298.72,Active
POL-00165,Motor,South,260087.54,1541.86,2023-04-02,2024-04-01,1157.45,Active
POL-00166,Motor,North,854353.07,1943.71,2022-11-26,2023-11-26,1757.33,Active
POL-00167,Property,North,3360845.69,2341.13,2023-01-15,2024-01-15,2251.33,Active
POL-00168,Property,North,15213720.9,1719.47,2023-02-05,2024-02-05,1554.59,Active
POL-00169,Motor,East,1048600.25,1876.71,2023-06-28,2024-06-27,961.49,Active
POL-00170,Liability,North,4478469.09,1915.13,2022-05-05,2023-05-05,655.87,Lapsed
POL-00171,Motor,South,1272985.3,2240.43,2022-09-16,2023-09-16,1589.78,Active
POL-00172,Motor,East,782615.45,3011.42,2023-02-04,2024-02-04,2730.9,Cancelled
POL-00173,Motor,East,870660.83,576.01,2022-02-17,2023-02-17,75.75,Active
POL-00174,Liability,Central,912969.4,843.91,2023-04-10,2024-04-09,615.01,Active
POL-00175,Motor,North,884530.76,1239.95,2022-06-25,2023-06-25,597.9,Active
POL-00176,Motor,East,1114351.34,2207.21,2022-07-20,2023-07-20,1215.48,Active
POL-00177,Motor,North,709183.61,2471.81,2022-12-18,2023-12-18,2383.77,Active
POL-00178,Liability,Central,2487245.01,2923.15,2022-01-14,2023-01-14,112.12,Active
POL-00179,Liability,Central,2370301.92,1002.69,2023-05-12,2024-05-11,642.82,Active
POL-00180,Property,North,12068311.87,2343.13,2022-11-14,2023-11-14,2041.41,Active
POL-00181,Liability,North,4697213.41,2213.96,2022-05-23,2023-05-23,867.39,Active
POL-00182,Liability,North,4207650.47,2311.01,2022-10-04,2023-10-04,1753.84,Active
POL-00183,Motor,North,1139146.23,2977.91,2022-07-24,2023-07-24,1672.52,Active
POL-00184,Motor,North,1030386.55,2242.45,2022-11-16,2023-11-16,1965.98,Active
POL-00185,Property,North,2452691.19,1842.57,2022-03-21,2023-03-21,403.85,Active
POL-00186,Property,North,6067927.35,846.91,2022-01-01,2023-01-01,2.32,Active
POL-00187,Motor,North,1428376.08,1847.3,2022-09-10,2023-09-10,1280.45,Active
POL-00188,Motor,South,1108037.22,794.33,2023-03-07,2024-03-06,652.88,Active
POL-00189,Property,South,19423495.87,5888.09,2023-06-07,2024-06-06,3355.4,Active
POL-00190,Motor,South,1486523.9,1703.48,2023-06-08,2024-06-07,966.08,Active
POL-00191,Liability,Central,930086.4,864.18,2022-04-27,2023-04-27,277.01,Active
POL-00192,Motor,South,236414.66,1373.38,2022-01-15,2023-01-15,56.44,Cancelled
POL-00193,Motor,South,282607.4,1193.68,2023-05-23,2024-05-22,729.29,Active
POL-00194,Property,Central,8700313.69,4299.71,2022-06-24,2023-06-24,2061.5,Active
POL-00195,Motor,South,869797.18,890.23,2022-11-05,2023-11-05,753.64,Lapsed
POL-00196,Motor,North,555000.67,1957.3,2022-04-07,2023-04-07,520.16,Cancelled
POL-00197,Motor,West,249795.52,396.85,2023-02-05,2024-02-05,358.8,Active
POL-00198,Liability,South,1755056.2,815.55,2023-05-14,2024-05-13,518.37,Active
POL-00199,Motor,East,1313975.49,1964.02,2022-02-02,2023-02-02,177.57,Active
POL-00200,Motor,West,616358.93,2557.99,2022-09-09,2023-09-09,1766.06,Active
POL-00201,Property,East,12171000.51,3594.01,2022-06-01,2023-06-01,1496.69,Active
POL-00202,Liability,West,4322916.75,907.31,2023-02-13,2024-02-13,800.42,Active
POL-00203,Motor,South,465812.77,2651.61,2023-05-02,2024-05-01,1772.59,Lapsed
POL-00204,Motor,North,1263288.38,2328.37,2023-05-20,2024-05-19,1441.67,Lapsed
POL-00205,Motor,South,633250.96,2943.75,2022-07-20,2023-07-20,1621.08,Active
POL-00206,Motor,South,1227274.97,1468.25,2022-06-13,2023-06-13,659.71,Active
POL-00207,Motor,West,1239704.15,3055.65,2023-03-25,2024-03-24,2360.81,Active
POL-00208,Property,West,6408269.38,2784.14,2023-05-31,2024-05-30,1639.97,Active
POL-00209,Motor,South,668279.67,1403.11,2023-04-11,2024-04-10,1018.69,Lapsed
POL-00210,Motor,Central,610476.66,817.87,2023-01-27,2024-01-27,759.61,Active
POL-00211,Property,South,9386776.59,2578.47,2023-04-22,2024-04-21,1794.34,Active
POL-00212,Motor,Central,999504.04,4250.74,2022-06-17,2023-06-17,1956.5,Lapsed
POL-00213,Motor,North,609819.34,1312.44,2022-05-12,2023-05-12,474.64,Lapsed
POL-00214,Property,West,2344410.52,656.62,2022-10-14,2023-10-14,516.3,Lapsed
POL-00215,Property,West,12565968.21,1936.3,2022-09-17,2023-09-17,1379.28,Active
POL-00216,Property,East,4696493.7,1498.56,2022-03-05,2023-03-05,262.76,Active
POL-00217,Motor,West,1019173.0,3517.6,2022-11-24,2023-11-24,3161.02,Active
POL-00218,Motor,East,697250.96,1828.5,2022-03-01,2023-03-01,300.57,Active
POL-00219,Liability,West,3466147.5,4480.93,2022-11-29,2023-11-29,4088.09,Lapsed
POL-00220,Motor,Central,334243.95,2275.83,2022-06-17,2023-06-17,1047.51,Active
POL-00221,Motor,North,1313225.23,2092.14,2023-03-10,2024-03-09,1702.37,Active
POL-00222,Motor,East,681715.16,2081.47,2022-06-11,2023-06-11,923.83,Active
POL-00223,Property,West,19162088.21,1682.12,2022-04-08,2023-04-08,451.64,Active
POL-00224,Liability,South,4960515.91,1083.83,2022-03-26,2023-03-26,252.4,Active
POL-00225,Motor,North,525768.65,961.84,2022-03-17,2023-03-17,200.27,Lapsed
POL-00226,Liability,North,2091111.41,1746.59,2022-06-28,2023-06-28,856.55,Active
POL-00227,Motor,South,1151698.15,1232.86,2022-05-06,2023-05-06,425.59,Active
POL-00228,Motor,West,1374910.73,2175.92,2022-02-03,2023-02-03,202.69,Active
POL-00229,Property,West,6480592.01,2187.34,2022-10-09,2023-10-09,1689.95,Active
POL-00230,Motor,North,925476.06,3130.24,2022-07-01,2023-07-01,1560.83,Lapsed
POL-00231,Motor,East,1295263.98,3654.88,2022-02-06,2023-02-06,370.49,Active
POL-00232,Motor,North,688080.99,614.99,2022-10-31,2023-10-31,512.21,Active
POL-00233,Liability,Central,3097360.16,1011.32,2022-01-22,2023-01-22,60.96,Active
POL-00234,Motor,West,1276125.7,1556.02,2022-09-03,2023-09-03,1048.72,Active
POL-00235,Liability,North,908279.02,1371.77,2023-05-16,2024-05-15,864.4,Active
POL-00236,Property,South,18554330.69,1453.83,2023-04-02,2024-04-01,1091.37,Active
POL-00237,Motor,Central,791338.02,2379.77,2022-12-06,2023-12-06,2216.77,Lapsed
POL-00238,Property,East,17869720.93,5350.06,2023-03-05,2024-03-04,4426.62,Active
POL-00239,Motor,South,1019313.89,4949.84,2022-04-16,2023-04-16,1437.49,Active
POL-00240,Motor,East,1455270.17,2148.24,2022-05-29,2023-05-29,876.95,Active
POL-00241,Property,South,19632284.23,635.1,2022-11-23,2023-11-23,568.98,Lapsed
POL-00242,Property,Central,7187854.35,1123.77,2022-01-15,2023-01-15,46.18,Active
POL-00243,Motor,Central,1197654.79,4632.78,2022-09-30,2023-09-30,3465.07,Lapsed
POL-00244,Motor,North,998547.37,457.95,2023-05-03,2024-05-02,304.88,Active
POL-00245,Property,West,12300491.38,1930.88,2022-02-21,2023-02-21,275.08,Lapsed
POL-00246,Liability,Central,4898455.97,1280.17,2023-02-23,2024-02-23,1094.28,Active
POL-00247,Property,North,17228806.17,1937.41,2023-05-25,2024-05-24,1173.06,Active
POL-00248,Motor,Central,325400.96,4419.03,2023-02-09,2024-02-09,3946.86,Active
POL-00249,Motor,South,286386.33,3810.64,2022-12-21,2023-12-21,3706.24,Active
POL-00250,Motor,South,383814.72,5144.91,2023-04-30,2024-04-29,3467.53,Active
POL-00251,Property,Central,3514329.63,1246.23,2022-02-26,2023-02-26,194.62,Active
POL-00252,Liability,West,4520160.55,538.78,2022-09-23,2023-09-23,392.65,Active
POL-00253,Motor,South,292478.36,1500.58,2023-03-14,2024-03-13,1204.57,Lapsed
POL-00254,Motor,East,1233021.32,2050.79,2022-01-27,2023-01-27,151.7,Active
POL-00255,Motor,West,637073.7,2712.49,2022-12-03,2023-12-03,2504.41,Active
POL-00256,Property,West,3899816.73,2794.29,2022-07-05,2023-07-05,1423.94,Active
POL-00257,Property,North,7277966.12,1975.89,2023-01-30,2024-01-30,1818.9,Lapsed
POL-00258,Motor,West,1163875.65,2256.85,2022-06-18,2023-06-18,1044.95,Active
POL-00259,Motor,Central,894777.57,1396.22,2023-03-07,2024-03-06,1147.58,Active
POL-00260,Motor,West,200984.15,2926.26,2022-07-30,2023-07-30,1691.62,Active
POL-00261,Motor,South,460877.29,1478.31,2022-02-18,2023-02-18,198.46,Active
POL-00262,Property,Central,4383108.48,3576.8,2022-10-11,2023-10-11,2783.05,Active
POL-00263,Motor,North,661693.04,1635.98,2023-04-05,2024-04-04,1214.66,Active
POL-00264,Motor,West,475495.69,1443.0,2022-07-27,2023-07-27,822.31,Lapsed
POL-00265,Liability,South,4124630.8,2578.68,2023-06-12,2024-06-11,1434.17,Active
POL-00266,Motor,Central,384118.88,1555.34,2022-01-21,2023-01-21,89.49,Active
POL-00267,Motor,Central,1462954.43,2239.12,2023-03-01,2024-02-29,1877.18,Active
POL-00268,Motor,Central,723971.99,1099.86,2022-12-12,2023-12-12,1042.61,Cancelled
POL-00269,Motor,South,240452.3,976.15,2023-02-01,2024-02-01,893.25,Cancelled
POL-00270,Motor,West,693206.44,2978.82,2022-08-24,2023-08-24,1926.03,Active
POL-00271,Motor,South,1393578.78,1215.34,2022-02-10,2023-02-10,136.52,Lapsed
POL-00272,Motor,East,1325042.55,1762.23,2022-09-23,2023-09-23,1284.25,Active
POL-00273,Motor,Central,350844.88,2400.9,2022-06-04,2023-06-04,1019.56,Active
POL-00274,Motor,West,1254851.74,3000.74,2022-08-25,2023-08-25,1948.43,Cancelled
POL-00275,Property,West,4721016.0,1556.09,2023-02-17,2024-02-17,1355.72,Active
POL-00276,Motor,North,621026.94,669.06,2022-03-21,2023-03-21,146.64,Active
POL-00277,Motor,East,1060357.11,1988.54,2023-01-28,2024-01-28,1841.44,Cancelled
POL-00278,Motor,North,1362297.89,2287.53,2023-04-11,2024-04-10,1660.81,Active
POL-00279,Liability,North,3357037.02,1606.13,2023-06-21,2024-06-20,853.67,Active
POL-00280,Liability,Central,3998830.18,1311.58,2022-12-03,2023-12-03,1210.97,Lapsed
POL-00281,Motor,East,1480300.94,2589.99,2023-05-23,2024-05-22,1582.38,Cancelled
POL-00282,Motor,North,855340.05,2584.88,2023-02-06,2024-02-06,2329.93,Lapsed
POL-00283,Motor,East,750219.67,1720.03,2023-02-14,2024-02-14,1512.69,Lapsed
POL-00284,Motor,South,1186277.42,2761.03,2022-04-26,2023-04-26,877.48,Active
POL-00285,Motor,North,1183308.02,2996.95,2022-08-18,2023-08-18,1888.49,Cancelled
POL-00286,Motor,West,1393234.38,1030.39,2022-06-30,2023-06-30,510.96,Active
POL-00287,Motor,North,1441375.95,1475.09,2022-09-04,2023-09-04,998.21,Active
POL-00288,Motor,North,1277024.7,929.94,2022-06-16,2023-06-16,425.48,Active
POL-00289,Motor,South,622045.94,665.81,2023-06-22,2024-06-21,352.06,Active
POL-00290,Motor,West,596088.33,1322.7,2022-04-12,2023-04-12,369.63,Active
POL-00291,Property,North,2814432.33,1949.39,2023-04-08,2024-04-07,1431.34,Active
POL-00292,Motor,South,1355579.14,1639.31,2023-04-27,2024-04-26,1118.32,Active
POL-00293,Liability,Central,2435349.97,1540.52,2022-06-09,2023-06-09,675.3,Active
POL-00294,Motor,East,314800.18,2929.73,2022-03-08,2023-03-08,537.79,Active
POL-00295,Property,North,4551549.33,651.76,2022-04-19,2023-04-19,194.63,Active
POL-00296,Liability,Central,1760755.4,2398.51,2023-05-19,2024-05-18,1491.67,Active
POL-00297,Liability,East,4828246.12,1091.3,2022-04-20,2023-04-20,328.88,Active
POL-00298,Property,Central,8765987.06,2877.03,2022-09-11,2023-09-11,2002.1,Active
POL-00299,Property,North,19509109.85,872.3,2022-07-08,2023-07-08,451.69,Active
POL-00300,Property,North,5605644.97,1668.23,2022-06-15,2023-06-15,758.7,Active
POL-00301,Property,North,11493818.64,1196.03,2022-02-09,2023-02-09,131.07,Active
POL-00302,Motor,East,1286826.9,2009.79,2022-04-22,2023-04-22,616.7,Active
POL-00303,Motor,South,585801.07,1307.12,2022-09-14,2023-09-14,920.35,Active
POL-00304,Motor,South,1315774.34,1445.96,2022-09-08,2023-09-08,994.34,Active
POL-00305,Liability,South,1645467.98,2285.24,2022-06-21,2023-06-21,1076.88,Active
POL-00306,Motor,East,1177273.02,677.66,2022-11-05,2023-11-05,573.69,Lapsed
POL-00307,Motor,South,730687.16,1830.18,2022-01-03,2023-01-03,15.04,Active
POL-00308,Property,North,11329304.05,1403.31,2022-06-02,2023-06-02,588.24,Lapsed
POL-00309,Motor,East,241680.13,1423.11,2022-11-08,2023-11-08,1216.47,Active
POL-00310,Motor,Central,728535.53,1799.77,2023-06-12,2024-06-11,1000.97,Active
POL-00311,Motor,Central,1449164.1,1530.43,2022-10-04,2023-10-04,1161.45,Cancelled
POL-00312,Motor,North,1439265.56,2225.83,2022-10-20,2023-10-20,1786.76,Active
